iter	RMSE
264	387.7326451
265	387.6147485
266	386.6949748
267	385.5671279
268	385.4778039
269	384.5982698
270	383.4691598
271	381.8086791
272	380.6326749
273	380.5335718
274	380.3174565
275	379.9574282
276	379.7415033
277	379.6104858
278	379.505944
279	377.9523281
280	376.7396902
281	376.6381216
282	375.4763086
283	374.1242776
284	372.8550039
285	371.8471339
286	369.9932834
287	369.9198151
288	369.8435726
289	369.11903
290	367.7656398
291	366.4648365
292	365.266775
293	363.9899523
294	363.0148104
295	362.9276778
296	362.1913057
297	362.1008723
298	361.0618054
299	360.9693686
300	360.8838154
301	359.6331732
302	359.5509862
303	357.8809972
304	356.2731
305	355.3618432
306	354.1603058
307	352.8661258
308	351.7746049
309	350.5435259
310	349.2926213
311	348.3200314
312	348.2624461
313	348.1822624
314	347.1221975
315	346.5967281
316	345.5362837
317	344.3067077
318	343.3117501
319	342.1953262
320	340.8074508
321	339.0988874
322	339.0206445
323	337.6925823
324	336.8013763
325	336.7124596
326	335.7455606
327	334.5498612
328	334.4649075
329	334.395797
330	332.7439655
331	331.7587387
332	330.3633483
333	329.5866814
334	328.6636943
335	327.4197569
336	327.3708293
337	326.1085687
338	326.0617256
339	325.8895339
340	324.8719631
341	324.0912307
342	322.7198865
343	321.6180701
344	320.7809935
345	319.7945857
346	319.7219177
347	318.5679085
348	317.8006928
349	316.8495724
350	316.7884633
351	315.7969819
352	315.7360971
353	314.5308647
354	313.3452342
355	312.5387536
356	311.5475041
357	310.6230221
358	309.5589383
359	308.5284477
360	307.28956
361	307.2236917
362	305.9294284
363	304.9916801
364	304.1331456
365	303.3676109
366	302.2167382
367	301.5414431
368	299.9637438
369	299.6997233
370	298.7637203
371	297.9671557
372	296.8680554
373	295.8435641
374	294.4980606
375	293.2919658
376	292.3079767
377	292.2528622
378	291.4270684
379	290.7057781
380	290.6566415
381	289.9168855
382	288.9830416
383	288.1124327
384	288.0610462
385	288.006374
386	287.0865933
387	286.2460725
388	286.1932745
389	285.4183302
390	284.2271142
391	283.444425
392	282.4501592
393	282.1104665
394	281.0241499
395	280.3603978
396	280.3227757
397	279.3048231
398	278.3717779
399	277.6913623
400	276.5764832
401	275.9006284
402	275.1349892
403	274.2816616
404	273.4812613
405	273.4177575
406	272.5654389
407	271.6881969
408	270.5825242
409	269.9327815
410	269.0329117
411	267.8296141
412	267.0868041
413	266.1262081
414	265.1636634
415	264.1607956
416	263.4503847
417	263.3672682
418	262.2941281
419	261.1274623
420	260.3471008
421	260.3153288
422	259.5575993
423	259.5174087
424	258.6672288
425	257.6893878
426	257.2778702
427	256.7301862
428	256.0248438
429	255.1182498
430	254.5027491
431	253.7431575
432	252.8217361
433	251.980131
434	250.8580294
435	250.4309045
436	249.8448276
437	249.5998644
438	249.5597763
439	248.7863702
440	248.6180962
441	247.8788964
442	247.2765545
443	247.2384205
444	246.1711483
445	245.4602087
446	245.4203863
447	244.6981971
448	244.1222596
449	243.2926286
450	242.4538853
451	242.4285728
452	241.2088236
453	241.1843637
454	240.1734804
455	239.4305573
456	238.8395611
457	238.3166914
458	237.5442962
459	236.643051
460	235.656619
461	234.9373526
462	234.9152497
463	234.7197063
464	234.069674
465	233.2698298
466	232.6168388
467	231.889334
468	230.6959358
469	229.8541066
470	229.3779141
471	228.8521966
472	228.2743283
473	227.7051058
474	227.1261318
475	226.3036806
476	225.6176446
477	224.7397191
478	224.0213733
479	223.4242981
480	223.2153394
481	222.4530423
482	221.6262243
483	221.0004437
484	220.2670487
485	219.6129532
486	219.0311354
487	218.4372516
488	218.2838504
489	217.7695087
490	217.023532
491	216.7809342
492	216.1487929
493	215.4465277
494	214.6647771
495	213.8792436
496	213.1749058
497	213.1439355
498	212.9879638
499	212.279324
500	212.2543147
501	211.9778142
502	211.8112412
503	211.2058885
504	210.5601589
505	210.0152048
506	209.2558173
507	208.8018394
508	208.2412792
509	207.5327297
510	206.8056857
511	206.3138788
512	205.9055225
513	205.4354379
514	204.7016093
515	204.0688779
516	203.3323238
517	202.6726005
518	202.6544886
519	202.0760099
520	201.6418258
521	201.037717
522	200.4024711
523	199.692491
524	199.0309231
525	198.2396593
526	197.7387163
527	197.4827515
528	196.8286777
529	196.1883402
530	195.7411677
531	195.0730307
532	194.4149965
533	193.6388801
534	192.8920909
535	192.2246541
536	192.202688
537	191.5840631
538	191.183419
539	190.7146151
540	190.0985803
541	189.6403262
542	189.587282
543	188.9784456
544	188.3564091
545	187.7387519
546	187.7174137
547	187.3023162
548	186.7481748
549	186.6702823
550	186.1938991
551	185.6826011
552	185.2472638
553	184.6097734
554	184.0586184
555	183.6797606
556	183.1024069
557	183.0827937
558	182.564237
559	182.0748121
560	181.5328712
561	180.8354813
562	180.2291812
563	179.8086306
564	179.265314
565	178.604928
566	178.1415868
567	177.7235689
568	177.0873472
569	176.3638444
570	175.6949384
571	175.2340318
572	174.7426828
573	174.2544259
574	173.7030972
575	173.2578835
576	173.1615539
577	172.5000906
578	172.1492565
579	172.1210781
580	171.6364473
581	171.0249437
582	170.5671265
583	170.0458532
584	169.66928
585	169.2663743
586	168.8224283
587	168.2673402
588	167.7146868
589	167.4043668
590	166.7132097
591	166.3174786
592	165.7673422
593	165.4485623
594	165.0584493
595	164.4829362
596	164.0385606
597	163.5549889
598	163.1120541
599	162.6690202
600	162.1350519
601	161.7703566
602	161.3782147
603	160.8893757
604	160.4381295
605	160.0589835
606	159.7191459
607	159.6992762
608	159.4536349
609	158.9982642
610	158.4796592
611	158.0478438
612	157.6717268
613	157.0465014
614	156.7901725
615	156.7343641
616	156.1395952
617	156.0358638
618	155.6221454
619	155.0450641
620	154.6050768
621	154.0073872
622	153.6272972
623	153.0365808
624	152.8894086
625	152.4011945
626	151.9467224
627	151.3517451
628	150.9737363
629	150.5257622
630	150.1201632
631	149.7662265
632	149.2496775
633	148.6864927
634	148.317708
635	147.7705299
636	147.4101366
637	146.8821385
638	146.6908128
639	146.2832171
640	145.8788434
641	145.4981483
642	145.2451983
643	144.8001474
644	144.2640522
645	143.879272
646	143.4997068
647	143.4346353
648	142.9858959
649	142.512105
650	142.0396146
651	141.6320064
652	141.6146514
653	141.1761655
654	140.7613603
655	140.3214052
656	140.1763668
657	139.8107564
658	139.3778997
659	138.9882798
660	138.5724327
661	138.2910681
662	137.9732764
663	137.5102914
664	137.1729328
665	136.853672
666	136.5260061
667	136.2554663
668	135.7683374
669	135.5380507
670	135.1798447
671	134.596356
672	134.3155945
673	134.142617
674	133.7905663
675	133.37923
676	133.1151623
677	132.7558217
678	132.371483
679	131.9046555
680	131.5385699
681	131.3840471
682	131.1126421
683	130.6753439
684	130.4033808
685	129.9409587
686	129.653659
687	129.3347628
688	128.9653572
689	128.6332423
690	128.2318746
691	127.9148273
692	127.5494373
693	127.1766646
694	126.8898097
695	126.5097417
696	126.0747689
697	125.730774
698	125.7105695
699	125.2734037
700	124.8792842
701	124.5540111
702	124.1512556
703	123.8086724
704	123.505469
705	123.3330583
706	122.9981248
707	122.500383
708	122.1621713
709	121.8558164
710	121.4898298
711	121.1860878
712	120.7579735
713	120.4797746
714	120.0555914
715	119.8491778
716	119.5374308
717	119.1500349
718	118.7615995
719	118.48215
720	118.1988048
721	117.9563095
722	117.7113017
723	117.4350066
724	116.9017334
725	116.5407076
726	116.2889602
727	115.9378091
728	115.6729164
729	115.4220904
730	115.4114532
731	115.2899501
732	115.2733756
733	115.0006725
734	114.902632
735	114.5874375
736	114.3601623
737	114.2113623
738	114.1187182
739	113.802077
740	113.7918196
741	113.7215932
742	113.4649053
743	113.2742197
744	112.9172427
745	112.6542892
746	112.2683992
747	111.9682755
748	111.6744488
749	111.6613886
750	111.6464712
751	111.4599192
752	111.2475322
753	110.9783098
754	110.9615647
755	110.6879249
756	110.2369032
757	109.9017026
758	109.8784777
759	109.7799783
760	109.6738988
761	109.4412631
762	109.260967
763	108.9958361
764	108.7144278
765	108.4822549
766	108.2026252
767	107.8828383
768	107.6949579
769	107.5066848
770	107.1662923
771	106.9791287
772	106.7711086
773	106.4391793
774	106.1084378
775	105.910268
776	105.6346794
777	105.2849833
778	105.0270881
779	104.8129913
780	104.6008834
781	104.417299
782	104.1298383
783	103.8164685
784	103.5048009
785	103.2280492
786	102.8393763
787	102.6988134
788	102.4073518
789	102.1807371
790	101.8812924
791	101.7342572
792	101.4707734
793	101.3044034
794	101.168706
795	100.6870418
796	100.3186865
797	100.3107653
798	100.0981322
799	99.84299012
800	99.62917011
801	99.41764582
802	99.29863368
803	99.04101228
804	98.77441167
805	98.54501625
806	98.27569798
807	98.04582238
808	97.826917
809	97.81688349
810	97.72599679
811	97.43720613
812	97.27878135
813	97.13207607
814	96.80292181
815	96.46898956
816	96.17978043
817	96.03456667
818	95.78897098
819	95.50877867
820	95.40892906
821	95.1335706
822	95.12560551
823	94.87277893
824	94.57772259
825	94.33930113
826	94.1450001
827	93.84405371
828	93.54322253
829	93.42842269
830	93.12754659
831	92.89511354
832	92.66847112
833	92.5179855
834	92.33638675
835	92.12854401
836	92.02167931
837	91.75654324
838	91.4818774
839	91.27979937
840	91.0709893
841	90.81686399
842	90.80745049
843	90.51209191
844	90.50070034
845	90.2431052
846	90.09030756
847	90.07918695
848	89.67740664
849	89.517242
850	89.33924653
851	89.12123401
852	88.8518709
853	88.64507589
854	88.51151752
855	88.35044216
856	88.17035368
857	87.97559096
858	87.72997371
859	87.41715026
860	87.40847415
861	87.3038272
862	87.11169498
863	86.88315571
864	86.71504438
865	86.41815997
866	86.14069867
867	85.96134992
868	85.7454166
869	85.53825835
870	85.48291509
871	85.34323787
872	85.05074414
873	84.84702487
874	84.61976028
875	84.51147404
876	84.37082684
877	84.15497219
878	83.8800864
879	83.87306832
880	83.63890934
881	83.52554848
882	83.34570407
883	83.07385564
884	82.92160475
885	82.9146926
886	82.89239009
887	82.65822849
888	82.43753794
889	82.18507116
890	82.03911753
891	81.82333157
892	81.62913326
893	81.62267998
894	81.48582141
895	81.34102915
896	81.18094473
897	80.9643395
898	80.93497659
899	80.8486026
900	80.84211249
901	80.60430296
902	80.3932647
903	80.24572975
904	80.07667455
905	79.98266921
906	79.72530131
907	79.56201319
908	79.34791349
909	79.11180133
910	78.90514926
911	78.60930533
912	78.49505644
913	78.29493649
914	78.22663295
915	78.22082686
916	77.97964746
917	77.83502639
918	77.64092881
919	77.3499397
920	77.19307588
921	77.00345488
922	76.80416584
923	76.52719242
924	76.36802245
925	76.24251701
926	76.05477798
927	75.83841361
928	75.75308151
929	75.58065394
930	75.46610197
931	75.35619256
932	75.1971434
933	74.97296827
934	74.7675046
935	74.68464687
936	74.62979013
937	74.40815176
938	74.19868292
939	74.04474642
940	73.86646446
941	73.59269219
942	73.43436332
943	73.26398759
944	73.1732379
945	72.82477774
946	72.71430951
947	72.41895207
948	72.24951761
949	71.98303181
950	71.81714892
951	71.67894058
952	71.67456776
953	71.58053533
954	71.39340955
955	71.29955301
956	71.11219603
957	70.9319672
958	70.80286325
959	70.63568745
960	70.38580418
961	70.22732941
962	70.11970731
963	69.93833762
964	69.92915223
965	69.7697426
966	69.75510966
967	69.60643287
968	69.46679505
969	69.28400757
970	69.26905327
971	69.11034578
972	68.92110531
973	68.79291564
974	68.64772515
975	68.49305041
976	68.32250231
977	68.20489263
978	68.06780484
979	67.98994949
980	67.88393634
981	67.73465085
982	67.72664399
983	67.57317176
984	67.42461379
985	67.30090711
986	67.17214026
987	66.92673859
988	66.68796628
989	66.54398134
990	66.37464897
991	66.21368099
992	66.11368556
993	65.88701164
994	65.8100245
995	65.63785513
996	65.46152501
997	65.3316549
998	65.24836237
999	65.14787536
